ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9649122807017544,0.996031746031746,0.975,0.9285714285714286,0.951219512195122,0.9245181185940876
Decision Tree,0.9210526315789472,0.9447751322751322,0.945945945945946,0.8333333333333334,0.8860759493670886,0.8299275201966065
kNN,0.956140350877193,0.982473544973545,0.9743589743589745,0.9047619047619048,0.9382716049382716,0.9058238738943076
Naive Bayes,0.9385964912280702,0.9933862433862434,1.0,0.8333333333333334,0.9090909090909092,0.8714893406611902
Random Forest,0.9736842105263158,0.9943783068783068,1.0,0.9285714285714286,0.9629629629629628,0.9441549509633318
